Car Make,Car Model,,Start Year,End Year,Start Year~End Year,Monocarbon,Phantom S5,CTX,IRX,FW,Mono 2F,Phantom S5 2F,CTX 2F,IRX 2F,ALL SIDE+BACK,F.W,Front Doors
ACURA,CSX 4 DR SEDAN,,2006,2011,2006~2011,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,EL 4 DR SEDAN,,2001,2005,2001~2005,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,ILX 4 DR SEDAN,,2013,2022,2013~2022,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,INTEGRA 4 DR SEDAN,,2023,2026,2023~2026,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,MDX 4 DR SUV,,2022,2026,2022~2026,$250.00 ,$330.00 ,$440.00 ,$530.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,3,M,A
ACURA,MDX 4 DR SUV,,2014,2020,2014~2020,$250.00 ,$330.00 ,$440.00 ,$530.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,3,M,A
ACURA,MDX 4 DR SUV,,2007,2013,2007~2013,$250.00 ,$330.00 ,$440.00 ,$530.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,3,M,A
ACURA,MDX 4 DR SUV,,2001,2006,2001~2006,$300.00 ,$380.00 ,$460.00 ,$580.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,4,M,A
ACURA,NSX 2 DR COUPE,,2016,2021,2016~2021,$225.00 ,$300.00 ,$350.00 ,$400.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1C,S,A
ACURA,RDX 4 DR SUV,,2019,2026,2019~2026,$225.00 ,$300.00 ,$400.00 ,$480.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,2,M,A
ACURA,RDX 4 DR SUV,,2013,2018,2013~2018,$250.00 ,$330.00 ,$440.00 ,$530.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,3,M,A
ACURA,RDX 4 DR SUV,,2007,2012,2007~2012,$225.00 ,$300.00 ,$400.00 ,$480.00 ,$255.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,2,M,A
ACURA,RL 4 DR SEDAN,,2009,2013,2009~2013,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,RL 4 DR SEDAN,,2005,2008,2005~2008,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,RLX 4 DR SEDAN,,2014,2020,2014~2020,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,RSX 2 DR COUPE,,2002,2006,2002~2006,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,TL 4 DR SEDAN,,2009,2014,2009~2014,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,TL 4 DR SEDAN,,2004,2008,2004~2008,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,TLX 4 DR SEDAN,,2021,2026,2021~2026,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
ACURA,TLX 4 DR SEDAN,,2015,2020,2015~2020,$200.00 ,$275.00 ,$375.00 ,$450.00 ,$230.00 ,$110.00 ,$140.00 ,$170.00 ,$200.00 ,1,S,A
